Title,Date
"Anatomía según Grey: Temporada 11: Loco amor","07/05/20"
"La historia de Dios con Morgan Freeman: Temporada 1: Apocalipsis","07/05/20"
"La historia de Dios con Morgan Freeman: Temporada 1: La muerte","07/05/20"
"Esta mierda me supera: Temporada 1: Tu secreto más oscuro","07/05/20"
"Esta mierda me supera: Temporada 1: De tal palo, tal astilla","07/05/20"
"Esta mierda me supera: Temporada 1: Otro día en el paraíso","07/05/20"
"Élite: Temporada 3: Samuel y Guzmán","06/05/20"
"Unacknowledged","06/05/20"
"Esta mierda me supera: Temporada 1: Stan en todo","06/05/20"
"Esta mierda me supera: Temporada 1: Se acabó la fiesta","06/05/20"
"Élite: Temporada 3: Carla","05/05/20"
"Anatomía según Grey: Temporada 11: Cuando crezca","05/05/20"
"Esta mierda me supera: Temporada 1: Tiempos desesperados","05/05/20"
"Esta mierda me supera: Temporada 1: Querido diario...","05/05/20"
"Atypical: Temporada 3: Dulce búsqueda","05/05/20"
"Atypical: Temporada 3: Sam sale a pasear","05/05/20"
"Élite: Temporada 2: 0 horas desaparecido","04/05/20"
"Élite: Temporada 2: 84 horas desaparecido","04/05/20"
"Anatomía según Grey: Temporada 11: Con o sin ti","04/05/20"
"Anatomía según Grey: Temporada 11: No sueñes que se ha terminado","04/05/20"
"Atypical: Temporada 3: Paige, furia al volante","04/05/20"
"Élite: Temporada 2: 66 horas desaparecido","03/05/20"
"El espantatiburones","03/05/20"
"La casa de papel: Parte 4: Tumbar la carpa","03/05/20"
"Atypical: Temporada 3: Pérdidas","03/05/20"
"Atypical: Temporada 3: La esencia de un pingüino","03/05/20"
"Atypical: Temporada 3: Solo tweed","03/05/20"
"Atypical: Temporada 3: Tienes un fantasma","03/05/20"
"Élite: Temporada 2: 63 horas desaparecido","03/05/20"
"En pocas palabras: Temporada 2: Los diamantes","03/05/20"
"Élite: Temporada 2: 59 horas desaparecido","02/05/20"
"Atypical: Temporada 3: Cocaína y carne de poni","02/05/20"
"Atypical: Temporada 3: Sam el Serio","02/05/20"
"Atypical: Temporada 3: Los mejores planes","02/05/20"
"Élite: Temporada 2: 36 horas desaparecido","01/05/20"
"Atypical: Temporada 2: Las reglas de Ernest Shackleton","01/05/20"
"Atypical: Temporada 2: Ritualicioso","01/05/20"
"Atypical: Temporada 2: Vivir en altura","01/05/20"
"Atypical: Temporada 2: Borrón y cuenta nueva","01/05/20"
"Atypical: Temporada 2: La guarida del dragón","01/05/20"
"Atypical: Temporada 2: El huevo","01/05/20"
"Anatomía según Grey: Temporada 11: Noto que la tierra se mueve","30/04/20"
"Anatomía según Grey: Temporada 11: La distancia","30/04/20"
"Atypical: Temporada 2: Prendido fuego","30/04/20"
"Atypical: Temporada 2: El amiguito y el león","30/04/20"
"Atypical: Temporada 2: La cámara del pingüino bebé","30/04/20"
"Atypical: Temporada 2: Empapada","30/04/20"
"Misión de rescate","29/04/20"
"Anatomía según Grey: Temporada 11: Comienzo desde el final","29/04/20"
"Atypical: Temporada 1: Las propiedades de silenciamiento de la nieve","29/04/20"
"Atypical: Temporada 1: Perdí mi pobre albóndiga","29/04/20"
"Atypical: Temporada 1: El tren a Pueblo Polvo","29/04/20"
"Atypical: Temporada 1: Esa es mi sudadera","29/04/20"
"El regreso del gato","28/04/20"
"Atypical: Temporada 1: Un aroma neutro","28/04/20"
"Atypical: Temporada 1: Julia dijo","28/04/20"
"Atypical: Temporada 1: Una hembra humana","28/04/20"
"Atypical: Temporada 1: Antártida","28/04/20"
"Perdidos en el espacio: Temporada 2: Desconocido","28/04/20"
"Anatomía según Grey: Temporada 11: El gran farsante","27/04/20"
"Code 8: Renegados","27/04/20"
"Anatomía según Grey: Temporada 11: Lo único que podía hacer era llorar","26/04/20"
"Anatomía según Grey: Temporada 11: La cama es demasiado grande sin ti","26/04/20"
"Perdidos en el espacio: Temporada 2: Engaño","26/04/20"
"Perdidos en el espacio: Temporada 2: Evolución","25/04/20"
"Perdidos en el espacio: Temporada 2: Aislados","25/04/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Gata policía","25/04/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Un largo viaje en avión","25/04/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Día del espíritu","25/04/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: En las entrañas de la casa donde está el nido de gatos","25/04/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: La niñera del Jefe","25/04/20"
"Monsters, Inc.","25/04/20"
"Leyendas de Oz: El Regreso de Dorothy","24/04/20"
"Buscando a Dory","24/04/20"
"Perdidos en el espacio: Temporada 2: Corre","24/04/20"
"Califato: Temporada 1: Episodio 2","23/04/20"
"Los Pitufos","23/04/20"
"Anatomía según Grey: Temporada 11: ¿Qué hacemos ahora?","23/04/20"
"Anatomía según Grey: Temporada 11: Riesgo","23/04/20"
"Planeta absurdo: Temporada 1: Cosas extrañas","23/04/20"
"Better Call Saul: Temporada 5: Algo imperdonable","22/04/20"
"Desenfrenadas: Temporada 1: Me quiero ir a la v**","21/04/20"
"Better Call Saul: Temporada 5: El camino de las malas elecciones","21/04/20"
"Better Call Saul: Temporada 5: Cobrador","20/04/20"
"Better Call Saul: Temporada 5: JMM","20/04/20"
"Better Call Saul: Temporada 5: Wexler vs. Goodman","20/04/20"
"Better Call Saul: Temporada 5: Dedicado a Max","19/04/20"
"Better Call Saul: Temporada 5: Namasté","19/04/20"
"Anatomía según Grey: Temporada 11: ¿Podemos empezar otra vez?","18/04/20"
"Anatomía según Grey: Temporada 11: No empecemos","18/04/20"
"Anatomía según Grey: Temporada 11: Dóblate y rompe","18/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Faraón","18/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Copigato","18/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Quiebratiempo","18/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Clima Tempestuoso","18/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Señor Pichón","18/04/20"
"El Dragón: El regreso de un guerrero: Temporada 1: Episodio 1","18/04/20"
"Better Call Saul: Temporada 5: El indicado","18/04/20"
"Better Call Saul: Temporada 5: 50 % de descuento","18/04/20"
"Élite: Temporada 2: 34 horas desaparecido","17/04/20"
"Élite: Temporada 2: 20 horas desaparecido","17/04/20"
"Better Call Saul: Temporada 5: Hombre Mágico","17/04/20"
"Anatomía según Grey: Temporada 11: Solo lo sabe mamá","17/04/20"
"Better Call Saul: Temporada 4: Ganador","16/04/20"
"Better Call Saul: Temporada 3: Farol","16/04/20"
"Betty en NY: Temporada 1: Jugar con fuego","16/04/20"
"Anatomía según Grey: Temporada 11: Tiene que ser real","16/04/20"
"Betty en NY: Temporada 1: El beso seductor","16/04/20"
"Anatomía según Grey: Temporada 11: Un rompecabezas a falta de una pieza","16/04/20"
"Anatomía según Grey: Temporada 11: Será que lo perdí con el viento","16/04/20"
"Betty en NY: Temporada 1: La rival","16/04/20"
"Betty en NY: Temporada 1: Embarazada","16/04/20"
"Betty en NY: Temporada 1: La noticia bomba","16/04/20"
"Milagro en la celda 7","16/04/20"
"Betty en NY: Temporada 1: Armando se derrumba","15/04/20"
"Betty en NY: Temporada 1: Betty se desilusiona","15/04/20"
"Betty en NY: Temporada 1: Armando mete la pata","15/04/20"
"Masha y el oso: Temporada 3: ¡Sorpresa sorpresa! / ¡Mentiroso mentiroso cara de oso! / Los tres mashqueteros","15/04/20"
"Masha y el oso: Temporada 3: Aprendiendo a conducir / Como gato y ratón / Una historia fantasmagórica","15/04/20"
"Masha y el oso: Temporada 3: Regresar a casa no es fácil / Cuento de hadas / Duérmete, niña","15/04/20"
"Masha y el oso: Temporada 2: Oso de dientes de sable / Temporada de cosecha / Te veo después","15/04/20"
"Bee Movie: La historia de una abeja","14/04/20"
"Masha y el oso: Temporada 2: Super-Masha / Noche de espantos / Fiebre de baile","14/04/20"
"Anatomía según Grey: Temporada 10: Miedo (a lo desconocido)","14/04/20"
"Anatomía según Grey: Temporada 10: Nada me sale bien por más que me esfuerce","14/04/20"
"Betty en NY: Temporada 1: Un mal día","13/04/20"
"Betty en NY: Temporada 1: Buscado por la policía","13/04/20"
"Betty en NY: Temporada 1: Hugo saborea su venganza","13/04/20"
"Una esposa de mentira","12/04/20"
"Friends: Temporada 1: Estreno","12/04/20"
"Rica, famosa, latina: Temporada 1: Episodio 1","12/04/20"
"Black Lightning: Temporada 3: El libro de la ocupación: Capítulo 1: El nacimiento del mirlo","12/04/20"
"El hoyo","12/04/20"
"Betty en NY: Temporada 1: La promesa","11/04/20"
"Betty en NY: Temporada 1: Sufrimiento silencioso","11/04/20"
"Betty en NY: Temporada 1: Apuesta riesgosa","11/04/20"
"Pasante de moda","11/04/20"
"Betty en NY: Temporada 1: Hugo estalla de furia","10/04/20"
"Betty en NY: Temporada 1: Bajo presión","10/04/20"
"Betty en NY: Temporada 1: La advertencia","10/04/20"
"Betty en NY: Temporada 1: La farsa de Armando","10/04/20"
"Anatomía según Grey: Temporada 10: Nunca jamás volveremos a estar juntos","09/04/20"
"Betty en NY: Temporada 1: El gran reto","09/04/20"
"Betty en NY: Temporada 1: Betty está bajo la lupa","09/04/20"
"Betty en NY: Temporada 1: El soborno","09/04/20"
"100 humanos: Temporada 1: La mejor edad","09/04/20"
"100 humanos: Temporada 1: El sexo","09/04/20"
"Anatomía según Grey: Temporada 10: Cambio de opinión","08/04/20"
"Anatomía según Grey: Temporada 10: Por cuenta propia","08/04/20"
"Betty en NY: Temporada 1: El sabotaje","08/04/20"
"Betty en NY: Temporada 1: Una propuesta indecente","08/04/20"
"Betty en NY: Temporada 1: El gran regalo","08/04/20"
"100 humanos: Temporada 1: La atracción","08/04/20"
"La casa de papel: Parte 4: KO técnico","08/04/20"
"La casa de papel: Parte 4: 5 minutos antes","07/04/20"
"Betty en NY: Temporada 1: Un corazón partido","07/04/20"
"Betty en NY: Temporada 1: Una jugosa propuesta","07/04/20"
"Betty en NY: Temporada 1: Betty contraataca","07/04/20"
"Betty en NY: Temporada 1: La maldad de Patricia","06/04/20"
"Betty en NY: Temporada 1: El trago amargo","06/04/20"
"Betty en NY: Temporada 1: Beatriz Rincón irrumpe en V&M","06/04/20"
"Anatomía según Grey: Temporada 10: Estoy ganando","05/04/20"
"La casa de papel: Parte 4: Suspiros de España","05/04/20"
"La casa de papel: Parte 4: Lección de anatomía","05/04/20"
"La casa de papel: Parte 4: La boda de Berlín","05/04/20"
"La casa de papel: Parte 4: Game Over","05/04/20"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Burbujeo","03/04/20"
"Anatomía según Grey: Temporada 10: Estás enfermando","03/04/20"
"Anatomía según Grey: Temporada 10: ¿Sabes?","02/04/20"
"Anatomía según Grey: Temporada 10: Tenemos que salir de aquí","01/04/20"
"Anatomía según Grey: Temporada 10: Tirándolo todo","01/04/20"
"Anatomía según Grey: Temporada 10: Tienes que esconder tu amor","31/03/20"
"Masha y el oso: Temporada 2: Vengadores / Buen provecho / Programa de variedades","27/03/20"
"Masha y el oso: Temporada 2: ¡Acción! / Grito de victoria / Las piezas del crimen: un caso misterioso","27/03/20"
"Masha y el oso: Temporada 2: Belleza peligrosa / Quitándose el sombrero / Dos son multitud","27/03/20"
"Anatomía según Grey: Temporada 10: Retráctate","26/03/20"
"Anatomía según Grey: Temporada 10: Levántate, defiéndete","26/03/20"
"Terremoto: La falla de San Andrés","26/03/20"
"Anatomía según Grey: Temporada 10: Hombre en la luna","26/03/20"
"Anatomía según Grey: Temporada 10: Alguien a quien conocía","26/03/20"
"Anatomía según Grey: Temporada 10: Ya no hay forma de pedir perdón","26/03/20"
"Hotel para perros","22/03/20"
"Son como niños 2","22/03/20"
"Como si fuera la primera vez","22/03/20"
"Mi villano favorito 3","22/03/20"
"El príncipe del rap: Temporada 2: Will a cirugía","21/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Mayura: Día de los Héroes (Parte 2)","20/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Catalizadora: Día de los Héroes (Parte 1)","20/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Dormilón","20/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Maledictador","20/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Anansi","20/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Inverso","19/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Reina Avispa: La batalla de la reina (Parte 2)","19/03/20"
"Sextillizos","19/03/20"
"Desenfrenadas: Temporada 1: Huevos","18/03/20"
"El príncipe del rap: Temporada 2: Hilary se rebela","17/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Troublemaker","17/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Reina Estilosa: La batalla de la reina (Parte 1)","17/03/20"
"Anatomía según Grey: Temporada 10: Dos contra uno","17/03/20"
"Anatomía según Grey: Temporada 10: Thriller","16/03/20"
"Anatomía según Grey: Temporada 10: Un mapa de ti","16/03/20"
"Anatomía según Grey: Temporada 10: Seguro que te dolió","16/03/20"
"Anatomía según Grey: Temporada 10: Vístete de gala","16/03/20"
"Anatomía según Grey: Temporada 10: Todos claman piedad","16/03/20"
"Air Buddies","15/03/20"
"Anatomía según Grey: Temporada 10: Te quiero conmigo","15/03/20"
"Anatomía según Grey: Temporada 10: Sellar nuestro destino","15/03/20"
"Hotel Transilvania 2","14/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Helador","14/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Zombesito","14/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Sirena","14/03/20"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Frightningale","14/03/20"
"Anatomía según Grey: Temporada 9: La tormenta perfecta","14/03/20"
"Anatomía según Grey: Temporada 9: Lo principal es estar preparado","14/03/20"
"Anatomía según Grey: Temporada 9: ¿Crees en la magia?","14/03/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Estreñimiento extremo","13/03/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Máquina de guerra","13/03/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Fórmula para el desastre: Un misterio para Dekker Botas Lunares","13/03/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Noche de diversión familiar","12/03/20"
"Un jefe en pañales: De vuelta a los negocios: Temporada 1: Gatos en la cuna","12/03/20"
"Anatomía según Grey: Temporada 9: Monstruo durmiente","12/03/20"
"Anatomía según Grey: Temporada 9: Ella me está matando","12/03/20"
"El príncipe del rap: Temporada 2: Geoffrey se enamora","11/03/20"
"El príncipe del rap: Temporada 2: Mi hermano o mi rival","11/03/20"
"Desenfrenadas: Temporada 1: Acepta mi existencia o espera la resistencia","11/03/20"
"Desenfrenadas: Temporada 1: La cruda es el mejor atajo para el fracaso","11/03/20"
"Desenfrenadas: Temporada 1: Los atardeceres que le regalé a mis hermanas","10/03/20"
"Anatomía según Grey: Temporada 9: No puedo quitarme esa sensación","10/03/20"
"Desenfrenadas: Temporada 1: Mujeres Tormenta","09/03/20"
"Desenfrenadas: Temporada 1: Problemas del primer mundo","09/03/20"
"Pokémon Mewtwo contraataca: Evolución","08/03/20"
"Narcos: México: Temporada 2: Libre comercio","08/03/20"
"Academia de cachorros: Temporada 1: ¡Oopsie!","07/03/20"
"Academia de cachorros: Temporada 1: Háblanos sobre tu humano","07/03/20"
"Academia de cachorros: Temporada 1: El primer día de la callejera","07/03/20"
"La boda de la abuela","07/03/20"
"Yo soy Betty, la fea: Temporada 1: Episode 257","07/03/20"
"Desenfrenadas: Temporada 1: Pacto de Secundaria","06/03/20"
"Titanes: Temporada 1: Orígenes","05/03/20"
"Desenfrenadas: Temporada 1: Lo que te choca, te checa","05/03/20"
"Desenfrenadas: Temporada 1: Checa tu privilegio","05/03/20"
"El viaje de Chihiro","03/03/20"
"Perdí mi cuerpo","01/03/20"
"Masha y el oso: Temporada 2: El cumpleaños es solo una vez al año / Cambiando lugares / De tal palo, tal astilla","01/03/20"
"Masha y el oso: Temporada 2: La dolce vita / No es fácil ser niño / Un viaje inolvidable","01/03/20"
"Masha y el oso: Temporada 2: Paisaje al óleo / Barriendo al oponente / Factor de crecimiento","01/03/20"
"Masha y el oso: Temporada 1: El hit del momento / ¡Mejórate pronto! / Jaqueca de Jacos","01/03/20"
"Masha y el oso: Temporada 1: Primera vez en primer grado / El ensayo de la orquesta / ¡No traspasar!","01/03/20"
"Masha y el oso: Temporada 1: La avena de Masha / Respire profundo / El hallazgo","01/03/20"
"Masha y el oso: Temporada 1: Fiesta en patines / Abracadabra / Un pariente lejano","01/03/20"
"Masha y el oso: Temporada 1: Día de lavado / Encuéntrame si puedes / Mejorando la casa","01/03/20"
"Narcos: México: Temporada 2: Crecimiento, prosperidad y liberación","29/02/20"
"Narcos: México: Temporada 2: Se cayó el sistema","29/02/20"
"Narcos: México: Temporada 2: Verdad y reconciliación","28/02/20"
"Narcos: México: Temporada 2: El dedazo","27/02/20"
"Betty en NY: Temporada 1: Un sueño realizado","27/02/20"
"Anatomía según Grey: Temporada 9: Manos despreocupadas","26/02/20"
"Anatomía según Grey: Temporada 9: Transplante en el páramo","26/02/20"
"Betty en NY: Temporada 1: Entre la vida y la muerte","26/02/20"
"Betty en NY: Temporada 1: Todo sale a la luz","26/02/20"
"Betty en NY: Temporada 1: Un amigo ingrato","26/02/20"
"Anatomía según Grey: Temporada 9: Por esto luchamos","25/02/20"
"Narcos: México: Temporada 2: Organización de Arellano Félix","24/02/20"
"Betty en NY: Temporada 1: Por segunda vez","24/02/20"
"Betty en NY: Temporada 1: Sangrando por la herida","24/02/20"
"Diamantes en bruto","23/02/20"
"Anatomía según Grey: Temporada 9: Negocio difícil","22/02/20"
"Anatomía según Grey: Temporada 9: La cara del cambio","20/02/20"
"Anatomía según Grey: Temporada 9: A sangre y fuego","20/02/20"
"Betty en NY: Temporada 1: Otra decepción amorosa","20/02/20"
"Anatomía según Grey: Temporada 9: Caminando en un sueño","19/02/20"
"Día de los enamorados","19/02/20"
"Historia de un matrimonio","19/02/20"
"Betty en NY: Temporada 1: Noche de hombres","19/02/20"
